CustomerID,Gender,Age,Annual_Income,Spending_Score
1,Male,38,18,65
2,Female,49,23,58
3,Male,40,27,84
4,Male,50,20,74
5,Male,20,28,69
6,Female,35,13,87
7,Male,42,11,82
8,Male,59,19,74
9,Male,48,21,67
10,Female,20,19,88
11,Male,57,9,86
12,Male,63,19,79
13,Male,41,13,98
14,Male,67,23,69
15,Female,49,21,64
16,Male,64,15,73
17,Female,39,17,79
18,Female,40,14,82
19,Female,19,19,77
20,Male,44,24,83
21,Female,59,15,67
22,Male,19,22,94
23,Female,43,17,79
24,Female,34,16,91
25,Female,57,19,83
26,Female,50,14,84
27,Female,26,17,85
28,Female,60,14,84
29,Female,65,29,86
30,Female,56,20,93
31,Male,46,16,81
32,Male,59,21,87
33,Female,43,19,79
34,Female,52,18,94
35,Female,67,23,73
36,Male,42,23,98
37,Female,41,17,79
38,Male,30,17,65
39,Male,24,18,81
40,Male,53,8,73
41,Male,62,12,88
42,Male,37,26,73
43,Female,18,28,75
44,Female,25,18,61
45,Female,63,22,75
46,Female,33,21,55
47,Female,31,35,64
48,Male,29,25,87
49,Female,68,19,87
50,Female,40,15,84
51,Male,32,11,70
52,Female,45,21,79
53,Male,51,16,79
54,Female,19,12,68
55,Male,49,16,95
56,Female,40,14,88
57,Female,39,28,77
58,Male,68,24,80
59,Male,42,19,82
60,Male,39,27,59
61,Male,39,20,77
62,Male,66,15,73
63,Male,69,27,69
64,Male,59,22,77
65,Male,23,14,97
66,Female,32,19,86
67,Female,60,15,74
68,Male,54,13,85
69,Female,50,24,93
70,Female,25,29,89
71,Female,61,13,80
72,Female,61,22,73
73,Male,22,16,86
74,Female,56,17,83
75,Male,21,17,88
76,Female,23,15,86
77,Female,62,20,90
78,Female,49,15,74
79,Male,69,21,93
80,Female,47,19,81
81,Male,64,18,100
82,Female,52,15,73
83,Male,57,17,97
84,Female,69,23,81
85,Male,33,22,73
86,Male,30,15,75
87,Female,67,20,76
88,Male,59,23,84
89,Female,47,11,85
90,Female,36,22,74
91,Female,34,16,79
92,Female,36,22,100
93,Female,45,16,97
94,Female,43,10,84
95,Female,54,11,80
96,Female,43,20,81
97,Female,40,21,86
98,Female,26,15,69
99,Female,29,23,77
100,Male,18,11,63
101,Male,18,19,53
102,Female,64,10,56
103,Female,51,14,45
104,Female,49,20,65
105,Female,65,13,37
106,Female,42,16,35
107,Female,57,28,52
108,Female,62,15,60
109,Female,18,26,66
110,Male,33,10,45
111,Female,56,24,60
112,Male,22,31,49
113,Female,39,0,48
114,Female,46,13,58
115,Male,20,24,56
116,Female,29,18,34
117,Male,43,22,64
118,Female,33,15,63
119,Female,68,20,43
120,Male,54,18,53
121,Female,39,29,54
122,Male,46,22,52
123,Female,31,22,44
124,Male,45,16,43
125,Male,22,16,49
126,Female,64,16,61
127,Female,66,23,55
128,Male,47,16,46
129,Female,63,22,57
130,Female,69,36,21
131,Female,22,26,61
132,Male,29,17,32
133,Male,33,29,46
134,Male,43,16,38
135,Male,43,3,37
136,Male,65,11,61
137,Male,38,5,45
138,Male,56,17,53
139,Male,53,20,49
140,Male,50,33,54
141,Female,47,22,50
142,Male,54,18,37
143,Female,40,26,59
144,Female,27,2,45
145,Female,22,21,34
146,Male,53,26,45
147,Male,51,8,65
148,Male,69,29,58
149,Male,48,22,46
150,Female,27,16,46
151,Male,36,25,46
152,Male,49,38,70
153,Male,18,21,53
154,Male,22,21,54
155,Male,62,16,60
156,Female,21,13,52
157,Male,33,26,47
158,Female,41,13,48
159,Male,33,20,49
160,Female,19,16,49
161,Male,66,23,57
162,Male,45,22,50
163,Female,49,28,57
164,Female,44,15,49
165,Female,37,17,50
166,Male,41,12,30
167,Female,29,16,59
168,Male,67,23,53
169,Male,52,26,59
170,Female,50,12,21
171,Female,50,26,70
172,Male,68,30,48
173,Male,60,23,61
174,Female,54,35,39
175,Female,29,13,56
176,Female,20,10,39
177,Male,18,5,43
178,Male,50,31,69
179,Male,57,25,48
180,Male,27,19,52
181,Male,60,22,58
182,Male,61,10,54
183,Female,46,39,51
184,Male,30,21,53
185,Male,29,20,74
186,Male,48,25,49
187,Female,63,23,52
188,Male,19,21,60
189,Male,68,13,61
190,Female,67,23,61
191,Male,52,35,56
192,Male,40,30,38
193,Male,34,32,66
194,Male,43,15,38
195,Male,25,12,53
196,Female,46,18,42
197,Female,43,20,49
198,Female,27,28,53
199,Male,43,6,53
200,Male,51,32,54
201,Male,68,78,31
202,Female,58,75,19
203,Male,24,69,12
204,Male,21,63,24
205,Female,67,88,26
206,Male,62,80,2
207,Female,28,67,20
208,Female,46,67,22
209,Female,53,76,12
210,Male,42,96,28
211,Male,38,77,13
212,Male,53,64,16
213,Male,27,77,13
214,Male,54,77,15
215,Male,26,53,4
216,Male,41,79,1
217,Female,52,77,30
218,Male,66,86,6
219,Female,52,98,5
220,Male,65,91,1
221,Male,53,77,8
222,Male,35,68,1
223,Female,66,105,31
224,Female,56,80,25
225,Female,49,80,8
226,Female,41,79,37
227,Male,40,81,24
228,Female,49,78,11
229,Male,54,74,1
230,Male,29,74,37
231,Female,66,79,1
232,Female,30,74,1
233,Female,40,72,25
234,Female,42,81,39
235,Female,52,77,28
236,Female,58,95,20
237,Female,47,53,20
238,Female,34,90,23
239,Male,66,92,22
240,Female,37,59,17
241,Female,65,76,16
242,Male,42,76,14
243,Female,39,65,7
244,Male,30,72,12
245,Male,36,68,1
246,Female,66,97,14
247,Male,53,89,5
248,Male,29,92,3
249,Male,58,87,16
250,Male,36,68,28
251,Female,29,74,24
252,Male,26,84,1
253,Female,24,67,5
254,Male,45,87,24
255,Male,31,77,5
256,Male,48,76,12
257,Male,69,87,20
258,Female,36,84,5
259,Female,64,76,16
260,Male,33,91,1
261,Male,22,69,8
262,Female,52,86,18
263,Male,29,85,1
264,Male,42,76,19
265,Male,69,83,14
266,Female,38,67,20
267,Female,53,89,17
268,Female,40,78,28
269,Male,33,74,16
270,Male,56,90,10
271,Female,62,72,16
272,Female,59,65,20
273,Female,56,64,15
274,Female,31,86,15
275,Male,48,67,7
276,Female,22,97,8
277,Male,52,59,1
278,Female,40,96,32
279,Male,46,82,2
280,Female,60,79,8
281,Female,28,74,7
282,Female,35,83,23
283,Female,64,79,12
284,Male,29,91,27
285,Female,26,81,8
286,Male,27,81,17
287,Male,61,76,6
288,Male,34,79,36
289,Male,55,83,3
290,Female,24,62,18
291,Male,63,66,21
292,Male,30,87,19
293,Male,57,81,13
294,Female,59,78,13
295,Female,26,80,15
296,Female,67,83,13
297,Female,44,74,24
298,Male,19,72,37
299,Male,22,81,9
300,Female,46,70,1
301,Male,54,27,19
302,Male,55,16,45
303,Male,36,30,11
304,Female,25,27,36
305,Female,65,26,36
306,Male,62,29,14
307,Female,18,33,25
308,Female,39,30,36
309,Female,69,15,16
310,Female,34,18,17
311,Female,24,21,14
312,Male,42,25,9
313,Female,62,27,13
314,Male,21,21,7
315,Male,53,25,20
316,Female,23,21,12
317,Male,48,21,22
318,Male,36,17,4
319,Male,61,20,23
320,Female,56,18,28
321,Female,44,20,1
322,Male,27,30,23
323,Female,43,20,32
324,Female,36,38,7
325,Female,56,27,36
326,Female,20,25,24
327,Male,62,20,12
328,Male,30,28,19
329,Female,67,22,25
330,Female,45,25,20
331,Male,37,37,25
332,Male,45,24,10
333,Female,25,30,21
334,Male,58,21,5
335,Female,56,24,18
336,Female,18,33,10
337,Male,20,21,12
338,Male,30,34,32
339,Female,45,28,30
340,Female,66,22,26
341,Male,42,28,9
342,Female,50,29,16
343,Male,55,28,32
344,Female,23,17,21
345,Male,61,21,43
346,Male,62,23,23
347,Male,49,24,21
348,Female,62,28,16
349,Female,64,25,21
350,Male,38,18,18
351,Female,33,26,27
352,Male,38,28,29
353,Male,28,27,12
354,Female,54,30,6
355,Female,53,29,1
356,Male,52,27,25
357,Female,36,24,8
358,Female,37,16,1
359,Male,35,27,23
360,Male,64,26,44
361,Female,58,26,19
362,Male,66,18,28
363,Male,31,19,20
364,Female,32,30,19
365,Male,48,24,29
366,Male,18,28,17
367,Female,20,25,22
368,Female,33,25,23
369,Male,40,29,13
370,Male,28,22,29
371,Female,29,25,18
372,Female,27,22,12
373,Female,49,22,25
374,Female,33,23,11
375,Male,25,26,20
376,Female,55,22,19
377,Female,29,31,30
378,Male,41,20,24
379,Female,45,24,19
380,Male,25,22,28
381,Female,45,32,33
382,Female,53,25,25
383,Female,43,30,20
384,Male,25,17,6
385,Male,67,26,9
386,Female,45,29,16
387,Male,45,25,13
388,Male,54,30,18
389,Male,58,22,20
390,Male,53,32,25
391,Male,44,36,19
392,Male,34,23,24
393,Female,26,22,20
394,Female,50,32,1
395,Male,37,32,10
396,Female,30,22,18
397,Female,45,22,7
398,Female,65,23,25
399,Female,46,18,35
400,Male,30,20,32
401,Female,63,74,82
402,Female,52,77,99
403,Male,23,84,86
404,Male,35,87,81
405,Female,68,100,78
406,Female,22,75,81
407,Female,64,94,81
408,Female,42,82,86
409,Female,19,84,86
410,Female,27,91,85
411,Male,47,73,89
412,Female,67,88,96
413,Female,62,86,94
414,Male,22,89,70
415,Male,50,87,59
416,Male,18,109,94
417,Male,35,78,71
418,Female,49,79,82
419,Female,64,78,73
420,Female,66,79,66
421,Female,28,78,90
422,Female,38,96,92
423,Female,43,99,79
424,Male,42,79,59
425,Female,39,76,79
426,Male,44,89,88
427,Male,66,79,70
428,Female,30,91,86
429,Male,50,87,84
430,Female,51,69,90
431,Male,58,100,86
432,Female,52,102,75
433,Male,18,78,96
434,Female,38,81,83
435,Female,65,87,84
436,Female,23,88,75
437,Female,45,91,80
438,Female,34,105,76
439,Male,22,83,83
440,Male,48,77,100
441,Male,22,71,71
442,Female,55,77,68
443,Male,20,84,99
444,Female,40,102,82
445,Female,54,79,78
446,Male,54,87,95
447,Male,27,84,78
448,Female,27,96,100
449,Male,36,110,91
450,Female,34,79,80
451,Female,38,80,100
452,Female,31,95,78
453,Female,26,91,92
454,Female,63,103,87
455,Male,18,90,98
456,Male,68,81,100
457,Female,62,90,85
458,Female,30,96,77
459,Male,21,93,89
460,Male,18,90,78
461,Female,66,95,100
462,Male,57,96,86
463,Female,49,98,81
464,Male,51,91,86
465,Female,45,83,71
466,Male,48,86,75
467,Female,25,97,97
468,Male,56,76,78
469,Male,43,88,74
470,Female,51,81,90
471,Male,20,85,96
472,Female,67,97,92
473,Male,29,86,94
474,Female,18,85,77
475,Male,61,71,70
476,Female,22,92,100
477,Male,47,91,81
478,Female,47,106,82
479,Male,34,81,98
480,Female,65,87,90
481,Female,64,87,89
482,Female,40,100,100
483,Male,32,84,78
484,Female,54,87,94
485,Male,38,91,85
486,Female,31,86,87
487,Male,19,80,100
488,Female,28,86,90
489,Male,68,95,90
490,Male,56,74,95
491,Female,55,86,81
492,Male,51,77,76
493,Male,55,96,74
494,Female,67,69,65
495,Male,51,79,100
496,Male,35,88,73
497,Male,47,100,82
498,Female,32,84,82
499,Male,44,79,88
500,Female,68,103,93
