,CustomerID,Gender,Age,Annual_Income,Spending_Score,Cluster
400,401,Female,63,74,82,2
401,402,Female,52,77,99,2
402,403,Male,23,84,86,2
403,404,Male,35,87,81,2
404,405,Female,68,100,78,2
405,406,Female,22,75,81,2
406,407,Female,64,94,81,2
407,408,Female,42,82,86,2
408,409,Female,19,84,86,2
409,410,Female,27,91,85,2
410,411,Male,47,73,89,2
411,412,Female,67,88,96,2
412,413,Female,62,86,94,2
413,414,Male,22,89,70,2
414,415,Male,50,87,59,2
415,416,Male,18,109,94,2
416,417,Male,35,78,71,2
417,418,Female,49,79,82,2
418,419,Female,64,78,73,2
419,420,Female,66,79,66,2
420,421,Female,28,78,90,2
421,422,Female,38,96,92,2
422,423,Female,43,99,79,2
423,424,Male,42,79,59,2
424,425,Female,39,76,79,2
425,426,Male,44,89,88,2
426,427,Male,66,79,70,2
427,428,Female,30,91,86,2
428,429,Male,50,87,84,2
429,430,Female,51,69,90,2
430,431,Male,58,100,86,2
431,432,Female,52,102,75,2
432,433,Male,18,78,96,2
433,434,Female,38,81,83,2
434,435,Female,65,87,84,2
435,436,Female,23,88,75,2
436,437,Female,45,91,80,2
437,438,Female,34,105,76,2
438,439,Male,22,83,83,2
439,440,Male,48,77,100,2
440,441,Male,22,71,71,2
441,442,Female,55,77,68,2
442,443,Male,20,84,99,2
443,444,Female,40,102,82,2
444,445,Female,54,79,78,2
445,446,Male,54,87,95,2
446,447,Male,27,84,78,2
447,448,Female,27,96,100,2
448,449,Male,36,110,91,2
449,450,Female,34,79,80,2
450,451,Female,38,80,100,2
451,452,Female,31,95,78,2
452,453,Female,26,91,92,2
453,454,Female,63,103,87,2
454,455,Male,18,90,98,2
455,456,Male,68,81,100,2
456,457,Female,62,90,85,2
457,458,Female,30,96,77,2
458,459,Male,21,93,89,2
459,460,Male,18,90,78,2
460,461,Female,66,95,100,2
461,462,Male,57,96,86,2
462,463,Female,49,98,81,2
463,464,Male,51,91,86,2
464,465,Female,45,83,71,2
465,466,Male,48,86,75,2
466,467,Female,25,97,97,2
467,468,Male,56,76,78,2
468,469,Male,43,88,74,2
469,470,Female,51,81,90,2
470,471,Male,20,85,96,2
471,472,Female,67,97,92,2
472,473,Male,29,86,94,2
473,474,Female,18,85,77,2
474,475,Male,61,71,70,2
475,476,Female,22,92,100,2
476,477,Male,47,91,81,2
477,478,Female,47,106,82,2
478,479,Male,34,81,98,2
479,480,Female,65,87,90,2
480,481,Female,64,87,89,2
481,482,Female,40,100,100,2
482,483,Male,32,84,78,2
483,484,Female,54,87,94,2
484,485,Male,38,91,85,2
485,486,Female,31,86,87,2
486,487,Male,19,80,100,2
487,488,Female,28,86,90,2
488,489,Male,68,95,90,2
489,490,Male,56,74,95,2
490,491,Female,55,86,81,2
491,492,Male,51,77,76,2
492,493,Male,55,96,74,2
493,494,Female,67,69,65,2
494,495,Male,51,79,100,2
495,496,Male,35,88,73,2
496,497,Male,47,100,82,2
497,498,Female,32,84,82,2
498,499,Male,44,79,88,2
499,500,Female,68,103,93,2
